Date,1d return,1w return,1m return,T yield,relative volume,VIX,regime
2007-09-24,-0.0052564440643945165,0.02276359069266376,0.044089296644611586,0.4624000072479248,0.8601196233510484,19.3700008392334,3
2007-09-25,-0.00034262980763510864,0.022206475282128935,0.04424876458969651,0.4613999843597412,0.881323374324186,18.600000381469727,3
2007-09-26,0.005411303128236344,0.03302747348722801,0.06931456683669035,0.4619999885559082,0.9030758833376001,17.6299991607666,3
2007-09-27,0.003907094941590916,0.007632667466557219,0.08863301204145957,0.45729999542236327,0.8147489247697298,17.0,3
2007-09-28,-0.0030234199663373706,-0.0014911605744744039,0.08182699190839915,0.4578999996185303,0.8384143883929183,18.0,3
2007-10-01,0.013289693179957318,0.01862718621399173,0.06991998406097344,0.4557000160217285,0.9473492865380232,17.84000015258789,3
2007-10-02,-0.00026504432292262514,0.013685076115230288,0.06992490930122464,0.45289998054504393,0.9082498977750013,18.489999771118164,3
2007-10-03,-0.004551857289897487,0.01440307935724583,0.06389931105584434,0.4543000221252441,0.9098176213869412,18.799999237060547,3
2007-10-04,0.002110951663853111,0.016892853028051213,0.0538020876194516,0.452299976348877,0.8155461292682583,18.440000534057617,3
2007-10-05,0.009560291622441541,0.021089221950824966,0.06501878004807682,0.46399998664855957,0.9052192610630635,16.90999984741211,3
2007-10-08,-0.003216513893620543,0.013843690726193847,0.04948725550682864,0.46380000114440917,0.6494670019904278,17.459999084472656,3
2007-10-09,0.008096245420633474,0.02515148152222868,0.06705798562310217,0.46510000228881837,0.9388741093305906,16.1200008392334,3
2007-10-10,-0.00171233023616435,0.009973841174773623,0.0908360933579333,0.46469998359680176,0.9810144247068867,16.670000076293945,3
2007-10-11,-0.005158458514124553,0.00503031059291037,0.061929567558398624,0.46589999198913573,1.2640644484580554,18.8799991607666,3
2007-10-12,0.004754224745041169,0.014425972824510191,0.07145799589263424,0.4686999797821045,0.9291983906653994,17.729999542236328,3
2007-10-15,-0.00838141086014621,0.0038046688232284964,0.05069231894257564,0.4672999858856201,1.0497859908484106,19.25,3
2007-10-16,-0.006573168570868315,-0.012236812602602676,0.03297255569454771,0.465500020980835,1.0824297914491474,20.020000457763672,3
2007-10-17,0.0017613961937021916,-0.007303949645935726,0.046831771826548296,0.45460000038146975,1.2111203879771815,18.540000915527344,3
2007-10-18,-0.0007526629123547623,-0.01601767751865213,0.0416150317504167,0.4502999782562256,1.0672954289480823,18.5,3
2007-10-19,-0.025615521464831148,-0.03957833877119821,0.03238963535699657,0.44010000228881835,1.3740942400648448,22.959999084472656,1
